dataset_name,noise_ratio,loss,n_pairs,stat,p_value,significant,note
FB15k-237,0.0,AELoss,9,0.0,1.0,False,
FB15k-237,0.08,AELoss,9,0.0,1.0,False,
FB15k-237,0.16,AELoss,9,0.0,1.0,False,
FB15k-237,0.32,AELoss,9,,,False,
KINSHIP,0.0,AELoss,9,19.0,0.673828125,False,
KINSHIP,0.08,AELoss,9,17.0,0.751953125,False,
KINSHIP,0.16,AELoss,9,9.0,0.951171875,False,
KINSHIP,0.32,AELoss,9,1.0,0.998046875,False,
NELL-995-h100,0.0,AELoss,9,21.0,0.58984375,False,
NELL-995-h100,0.08,AELoss,9,21.0,0.58984375,False,
NELL-995-h100,0.16,AELoss,9,21.0,0.58984375,False,
NELL-995-h100,0.32,AELoss,9,22.0,0.544921875,False,
UMLS,0.0,AELoss,9,26.0,0.3671875,False,
UMLS,0.08,AELoss,9,6.0,0.98046875,False,
UMLS,0.16,AELoss,9,1.0,0.998046875,False,
UMLS,0.32,AELoss,9,8.0,0.962890625,False,
FB15k-237,0.0,AGCELoss,9,0.0,1.0,False,
FB15k-237,0.08,AGCELoss,9,0.0,1.0,False,
FB15k-237,0.16,AGCELoss,9,0.0,1.0,False,
FB15k-237,0.32,AGCELoss,9,0.0,1.0,False,
KINSHIP,0.0,AGCELoss,9,14.0,0.849609375,False,
KINSHIP,0.08,AGCELoss,9,5.0,0.986328125,False,
KINSHIP,0.16,AGCELoss,9,22.0,0.544921875,False,
KINSHIP,0.32,AGCELoss,9,36.0,0.064453125,False,
NELL-995-h100,0.0,AGCELoss,9,6.0,0.98046875,False,
NELL-995-h100,0.08,AGCELoss,9,6.0,0.98046875,False,
NELL-995-h100,0.16,AGCELoss,9,3.0,0.994140625,False,
NELL-995-h100,0.32,AGCELoss,9,5.0,0.986328125,False,
UMLS,0.0,AGCELoss,9,31.0,0.1796875,False,
UMLS,0.08,AGCELoss,9,12.0,0.8984375,False,
UMLS,0.16,AGCELoss,9,12.0,0.8984375,False,
UMLS,0.32,AGCELoss,9,14.0,0.849609375,False,
FB15k-237,0.0,RoBoSS,9,0.0,1.0,False,
FB15k-237,0.08,RoBoSS,9,0.0,1.0,False,
FB15k-237,0.16,RoBoSS,9,0.0,1.0,False,
FB15k-237,0.32,RoBoSS,9,0.0,1.0,False,
KINSHIP,0.0,RoBoSS,9,40.0,0.01953125,True,
KINSHIP,0.08,RoBoSS,9,45.0,0.001953125,True,
KINSHIP,0.16,RoBoSS,9,41.0,0.013671875,True,
KINSHIP,0.32,RoBoSS,9,18.0,0.71484375,False,
NELL-995-h100,0.0,RoBoSS,9,17.0,0.751953125,False,
NELL-995-h100,0.08,RoBoSS,9,13.0,0.875,False,
NELL-995-h100,0.16,RoBoSS,9,9.0,0.951171875,False,
NELL-995-h100,0.32,RoBoSS,9,7.0,0.97265625,False,
UMLS,0.0,RoBoSS,9,45.0,0.001953125,True,
UMLS,0.08,RoBoSS,9,13.0,0.875,False,
UMLS,0.16,RoBoSS,9,16.0,0.787109375,False,
UMLS,0.32,RoBoSS,9,20.0,0.6328125,False,
FB15k-237,0.0,WaveLoss,9,0.0,1.0,False,
FB15k-237,0.08,WaveLoss,9,0.0,1.0,False,
FB15k-237,0.16,WaveLoss,9,0.0,1.0,False,
FB15k-237,0.32,WaveLoss,9,0.0,1.0,False,
KINSHIP,0.0,WaveLoss,9,39.0,0.02734375,True,
KINSHIP,0.08,WaveLoss,9,39.0,0.02734375,True,
KINSHIP,0.16,WaveLoss,9,39.0,0.02734375,True,
KINSHIP,0.32,WaveLoss,9,24.0,0.455078125,False,
NELL-995-h100,0.0,WaveLoss,9,0.0,1.0,False,
NELL-995-h100,0.08,WaveLoss,9,0.0,1.0,False,
NELL-995-h100,0.16,WaveLoss,9,0.0,1.0,False,
NELL-995-h100,0.32,WaveLoss,9,0.0,1.0,False,
UMLS,0.0,WaveLoss,9,37.0,0.048828125,True,
UMLS,0.08,WaveLoss,9,26.0,0.3671875,False,
UMLS,0.16,WaveLoss,9,23.0,0.5,False,
UMLS,0.32,WaveLoss,9,34.0,0.1015625,False,
